,year,indCode,industry,weight (%)
353,2019,6,BusEq,20.294
354,2019,7,Telcm,1.175
355,2019,8,Utils,0.0
356,2019,9,Shops,1.149
357,2019,10,Hlth,3.641
358,2019,11,Money,23.81
359,2019,12,Other,36.482
360,2020,1,NoDur,0.0
361,2020,2,Durbl,1.584
362,2020,3,Manuf,3.401
363,2020,4,Enrgy,0.247
364,2020,5,Chems,7.617
365,2020,6,BusEq,38.048
366,2020,7,Telcm,0.068
367,2020,8,Utils,0.0
368,2020,9,Shops,2.643
369,2020,10,Hlth,13.742
370,2020,11,Money,25.937
371,2020,12,Other,6.714
