,permno,namedt,nameendt,jdate,me,beta,lagbeta,ranklagbeta,lagbetaq,annRet,annRet10,volRank,wret,wt,comnam,cusip,ticker,industry,indDesc
158,80539,2004-06-10,2021-09-30,2020-12-31,3061547.0,0.8087514048822086,1.4856105007857572,1285.0,4,-0.21241123549993654,-0.21259320830793604,30.0,-650306.9808111242,0.005139058646747947,NEKTAR THERAPEUTICS,64026810,NKTR,Hlth,"Healthcare, Medical Equipment, and Drugs"
164,80969,2020-07-06,2021-09-30,2020-12-31,218951.04620361328,1.1305781841115337,1.4827459283470652,1281.0,4,0.1458526855747735,0.12453738892915167,26.0,31934.59809820331,0.0003675273537225423,COVENANT LOGISTICS GROUP INC,22284P10,CVLG,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
170,81282,2007-07-25,2021-09-30,2020-12-31,4500614.195739746,1.0643935931285124,1.4784930581357572,1275.0,4,0.014391557479728869,-0.01283939259252409,20.0,64770.84789207227,0.0075546513897362675,A C I WORLDWIDE INC,00449810,ACIW,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment"
173,83111,2011-02-10,2021-07-20,2020-12-31,34349052.72766113,0.7261539090900068,1.4682182715231893,1256.0,4,0.4446507951005705,0.41086201580640813,1.0,15273333.606305942,0.05765771240085098,ALEXION PHARMACEUTICALS INC,01535110,ALXN,Hlth,"Healthcare, Medical Equipment, and Drugs"
175,83120,2004-06-10,2021-09-30,2020-12-31,921406.7670822142,1.3281764660939803,1.4828673284843803,1282.0,4,-0.0326425509282644,0.0018963818394892586,27.0,-30077.067320128634,0.0015466571029436832,COLUMBUS MCKINNON CORP NY,19933310,CMCO,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing"
184,83822,2019-09-17,2021-09-30,2020-12-31,1439197.553396225,1.6333592314777847,1.4885618470793491,1289.0,4,0.025024780619760545,0.015945719286063254,34.0,36015.603042236646,0.0024158115590449405,GUESS INC,40161710,GES,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)"
190,85176,2019-09-12,2021-09-30,2020-12-31,426993.8312072754,1.4111578739927468,1.4793974186270764,1279.0,4,-0.4415978584825434,-0.4357872595901665,24.0,-188559.56144638942,0.0007167442931216741,D X P ENTERPRISES INC,23337740,DXPE,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)"
201,86544,2019-09-12,2021-03-01,2020-12-31,766496.0626487731,1.3891729622684348,1.4743600354557491,1268.0,4,-0.3913639887136324,-0.3696610733161825,13.0,-299978.9564115181,0.001286626734279576,BLUCORA INC,09522910,BCOR,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment"
204,86719,2004-06-10,2021-09-30,2020-12-31,7178761.0203933725,1.2414335539713557,1.4876965452024753,1287.0,4,0.07226927604298661,0.08813390210613536,32.0,518803.86182944087,0.012050141283079985,EAST WEST BANCORP INC,27579R10,EWBC,Money,Finance
209,88174,2006-06-30,2021-09-30,2020-12-31,4203885.389076233,0.9292784183527092,1.4909415901178231,1295.0,4,0.6818931753950253,0.5746459376147381,40.0,2866600.7569539435,0.007056567662906881,LIVEPERSON INC,53814610,LPSN,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
213,88860,2020-02-14,2021-09-30,2020-12-31,42141207.18505859,1.3726978933661795,1.4799329736744773,1280.0,4,0.9150542780100756,0.8020403167397132,25.0,38561491.91519679,0.07073748505862298,ALIGN TECHNOLOGY INC,01625510,ALGN,Hlth,"Healthcare, Medical Equipment, and Drugs"
218,89908,2020-02-13,2021-03-28,2020-12-31,341383.05774593353,1.6503934739452888,1.493111597622668,1298.0,4,-0.05649884688420481,0.10075178147225183,43.0,-19287.74910844915,0.0005730395629276615,CONNS INC,20824210,CONN,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)"
222,89960,2012-05-02,2021-09-30,2020-12-31,1722746.1123695376,1.0137017716244219,1.4979252446426958,1302.0,4,0.1835162729414357,0.3106717742179517,47.0,316151.9457664053,0.0028917711552114284,KRONOS WORLDWIDE INC,50105F10,KRO,Chems,Chemicals and Allied Products
229,90756,2020-05-04,2021-03-28,2020-12-31,5869113.2791900635,1.0579443433681643,1.4989851640248641,1303.0,4,-0.07542789805214213,-0.0649557838186422,48.0,-442694.8780792217,0.009851789747524665,OSHKOSH CORP,68823920,OSK,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing"
233,92257,2019-09-12,2021-09-30,2020-12-31,15787103.941711426,0.8899339055448444,1.4742849542746743,1267.0,4,-0.07595744415486316,-0.07601863136169174,12.0,-1199148.0660195658,0.026499953461031532,VMWARE INC,92856340,VMW,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment"
239,92486,2020-09-30,2021-09-30,2020-12-31,405413.18563127524,1.1944099412904454,1.474117772995081,1266.0,4,1.1239824747241878,1.2595578049166027,11.0,455677.31567165727,0.0006805194031396662,FLUENT INC,34380C10,FLNT,Telcm,Telephone and Television Transmission
242,92619,2020-03-27,2021-09-30,2020-12-31,133508.04764521122,1.2166351480203883,1.4773126264779564,1273.0,4,-0.7179845612208239,-0.7157811903067424,18.0,-95856.71700799583,0.00022410424751328646,GRAN TIERRA ENERGY INC,38500T10,GTE,Enrgy,"Oil, Gas, and Coal Extraction and Products"
247,92729,2019-08-02,2021-09-30,2020-12-31,3612981.3171463017,1.4439414533539288,1.4938020597198207,1299.0,4,0.015077935820055009,0.008632535477232084,44.0,54476.30041898975,0.006064686538674562,JOHN BEAN TECHNOLOGIES CORP,47783910,JBT,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing"
249,92871,2020-03-04,2021-09-30,2020-12-31,1645511.0,1.3635269533403134,1.4911148928888578,1296.0,4,0.8244771963107063,0.7808787075123431,41.0,1356686.2957784266,0.0027621256615916272,VIRTUS INVESTMENT PARTNERS INC,92828Q10,VRTS,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
